"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Packaging","Quantity","Unit Price","Mfg Std Lead Time","Description"
"SX1238IMLTRT","Semtech Corporation","SX1238IMLTRTCT-ND","U1","Cut Tape (CT)","1","9.15000","10 Weeks","SX1238 SELLABLE PART IN QFN"
"CRCW040247R0JNED","Vishay Dale","541-47JCT-ND","R1","Cut Tape (CT)","1","0.10000","Not Available","RES SMD 47 OHM 5% 1/16W 0402"
"CRCW040282R0JNED","Vishay Dale","541-82JCT-ND","R2","Cut Tape (CT)","1","0.10000","Not Available","RES SMD 82 OHM 5% 1/16W 0402"
"GRM1555C1H5R6DA01D","Murata Electronics North America","490-5946-1-ND","C20","Cut Tape (CT)","1","0.10000","Not Available","CAP CER 5.6PF 50V C0G/NP0 0402"
"GRM1555C1H1R8CA01D","Murata Electronics North America","490-5898-1-ND","C23","Cut Tape (CT)","1","0.10000","Not Available","CAP CER 1.8PF 50V C0G/NP0 0402"
"GRM1555C1H3R3CA01D","Murata Electronics North America","490-5938-1-ND","C7","Cut Tape (CT)","1","0.10000","Not Available","CAP CER 3.3PF 50V C0G/NP0 0402"
"GRM188R60J106ME47D","Murata Electronics North America","490-3896-1-ND","C18, C19","Cut Tape (CT)","2","0.18000","Not Available","CAP CER 10UF 6.3V X5R 0603"
"LQW15AN6N8G00D","Murata Electronics North America","490-6840-1-ND","L7,L4","Cut Tape (CT)","2","0.19000","8 Weeks","FIXED IND 6.8NH 700MA 90 MOHM"
"LQW15AN3N3D10D","Murata Electronics North America","490-6809-1-ND","L5","Cut Tape (CT)","1","0.20000","8 Weeks","FIXED IND 3.3NH 900MA 40 MOHM"
"LQW15AN33NJ00D","Murata Electronics North America","490-1152-1-ND","L2","Cut Tape (CT)","1","0.17000","8 Weeks","FIXED IND 33NH 260MA 630 MOHM"
"LQW15AN5N6C10D","Murata Electronics North America","490-6833-1-ND","L3","Cut Tape (CT)","1","0.21000","8 Weeks","FIXED IND 5.6NH 800MA 51 MOHM"
"LQW15AN10NJ00D","Murata Electronics North America","490-1146-1-ND","L1","Cut Tape (CT)","1","0.17000","8 Weeks","FIXED IND 10NH 500MA 170 MOHM"
"NX2520SA-32.000000MHZ","NDK America, Inc.","644-1065-1-ND","Q1","Cut Tape (CT)","1","1.14000","12 Weeks","CRYSTAL 32.0000MHZ 10PF SMD"
"142-0701-801","Cinch Connectivity Solutions Johnson","J502-ND","P2","Bulk","1","3.73000","7 Weeks","CONN SMA JACK STR 50OHM EDGE MNT"
"36103255","Wurth Electronics Inc.","732-2489-ND","SH1","Tray","1","3.19000","8 Weeks","BOARD SHIELD 25X25MM SMD FRAME"
"36003250","Wurth Electronics Inc.","732-2491-ND","SH1","Bulk","1","3.19000","8 Weeks","BOARD SHIELD 25X25MM COVER"
"PRPC010DAAN-RC","Sullins Connector Solutions","S2011EC-10-ND","P1","Bag","1","0.59000","Not Available","CONN HEADER .100"" DUAL STR 20POS"
"GRM1555C2A3R0CA01D","Murata Electronics North America","490-7286-1-ND","C21","Cut Tape (CT)","1","0.10000","Not Available","CAP CER 3PF 100V C0G/NP0 0402"
"GRM1555C2A1R0CA01D","Murata Electronics North America","490-7279-1-ND","C22","Cut Tape (CT)","1","0.10000","Not Available","CAP CER 1PF 100V C0G/NP0 0402"
"CL05B104JO5NNNC","Samsung Electro-Mechanics","1276-1505-1-ND","C1,C3,C4,C6","Cut Tape (CT)","4","0.10000","38 Weeks","CAP CER 0.1UF 16V X7R 0402"
"GRM1555C2A100JA01D","Murata Electronics North America","490-7299-1-ND","C12","Cut Tape (CT)","1","0.10000","Not Available","CAP CER 10PF 100V C0G/NP0 0402"
"GRM1555C2A150JA01D","Murata Electronics North America","490-7301-1-ND","C5","Cut Tape (CT)","1","0.10000","Not Available","CAP CER 15PF 100V C0G/NP0 0402"
"GRM155R71E103JA01J","Murata Electronics North America","490-6340-1-ND","C11, C15, C16, C14","Cut Tape (CT)","4","0.10000","Not Available","CAP CER 10000PF 25V X7R 0402"
"GRM1555C1H330GA01D","Murata Electronics North America","490-6232-1-ND","C10, C8","Cut Tape (CT)","2","0.10000","Not Available","CAP CER 33PF 50V C0G/NP0 0402"
"GRM1555C1H9R1CA01D","Murata Electronics North America","490-8233-1-ND","C9","Cut Tape (CT)","1","0.10000","Not Available","CAP CER 9.1PF 50V C0G/NP0 0402"
"GRM1555C1H180FA01D","Murata Electronics North America","490-6203-1-ND","C2","Cut Tape (CT)","1","0.10000","Not Available","CAP CER 18PF 50V C0G/NP0 0402"
